ID,SEM_TRATADAS,DIST_SURCOS,DIST_PLANTAS,COLOR_ENDOSPERMO,CULT_ANT,DRENAJE,POBLACION_20DIAS,TIPO_MATERIAL,ALMACENAMIENTO_FINCA,ContMalQui,ContPlaQui,CanFerQui,PENDIENTE,PH,MAT_ORGANICA,DRE_INTERN,PROF_EFEC,PText,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Rhum_sd_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Rhum_sd_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad,Rhum_sd_Mad,TotN,Totp,Totk,split,RDT
2743,SI,0.85,0.16,Blanco,Arroz,VERDADERO,73000,OGM,NO,2,1,5,1.5,6,MEDIA,BUENO,69,F,32.25216407,22.36676602,27.30946504,9.885398044,41858.73851,278.8,0.076923077,0,82.09830165,6.329246892,32.14895835,22.10166667,27.12531251,10.04729169,24255.6494,57.6,0.033333333,0,81.02109398,6.805311397,34.00168999,21.82391222,27.91280111,12.17777778,11894.93283,52.2,0.074074074,0,74.46645919,7.713627724,113,40,40,DK 234,6000
2778,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,70500,Hibrido,NO,0,3,4,1.7,7,BAJA,LENTO A MUY LENTO,30,ArA,31.95697176,22.53407371,27.24552274,9.422898044,41274.12607,311.8,0.086538462,0,83.69557508,5.526198603,31.89382159,22.4590611,27.17644135,9.434760488,24074.71661,77,0.033333333,0,83.4010958,6.030444934,33.53639459,21.82528348,27.68083903,11.71111111,15334.41537,45.6,0.055555556,0,75.08769218,6.882321167,116,18,18,ADV 9339 (Syngenta),6000
2801,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,71500,OGM,NO,2,3,5,1.7,6,MEDIA,BUENO,64,ArA,35.95383199,23.17911017,29.56647108,12.77472182,37247.71542,12.4,0,0,69.1151445,9.206211382,36.31359844,22.32833333,29.32096589,13.9852651,21025.4275,1.6,0,0,70.67181942,8.331783636,39.47814954,22.89166667,31.18490811,16.58648288,13541.30747,0.3,0,0,57.70124176,7.530515341,159,40,0,Otro,5000
2802,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,70000,OGM,NO,2,0,4,1.6,7,BAJA,LENTO A MUY LENTO,35,A,32.42908714,22.31003525,27.3695612,10.11905189,42111.30262,147.2,0.038461538,0,81.05949648,6.779192711,32.53666667,21.955,27.24583333,10.58166667,24664.26029,42.4,0.016666667,0,78.78497357,7.135119441,34.10174492,22.27233315,28.18703904,11.82941176,15119.73004,69.2,0.088235294,0,75.45103282,7.444213473,94,76,36,PIONEER 30F35,4500
2804,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,73000,Hibrido,NO,3,3,4,1.8,7,MEDIA,BUENO,71,Ar,32.42908714,22.31003525,27.3695612,10.11905189,42111.30262,147.2,0.038461538,0,81.05949648,6.779192711,32.53666667,21.955,27.24583333,10.58166667,24664.26029,42.4,0.016666667,0,78.78497357,7.135119441,34.14829849,22.36218738,28.25524294,11.78611111,16061.07953,69.2,0.083333333,0,75.41171447,7.23665,110,58,18,ADV 9339 (Syngenta),4500
2811,NO,0.8,0.15,Amarillo,Arroz,VERDADERO,70100,OGM,NO,3,3,5,1.7,7,MEDIA,BUENO,70,FA,32.2656256,22.32061218,27.29311889,9.945013428,41769.94425,280.2,0.076923077,0,81.95910502,6.543080402,32.22333333,22.03,27.12666667,10.19333333,24385.91914,45.2,0.016666667,0,80.31455471,7.25756758,33.95713058,22.16284487,28.05998773,11.79428571,15384.63296,68.8,0.085714286,0,75.04279059,7.268933496,160,26,6,Otro,4400
2814,NO,0.85,0.16,Blanco,Arroz,VERDADERO,72600,OGM,NO,3,2,3,1.7,6,MEDIA,BUENO,67,ArA,32.58951846,22.90544254,27.7474805,9.684075917,42687.82141,391,0.115384615,0,81.80260956,6.428317726,32.23479269,22.83239444,27.53359357,9.402398256,23968.8537,264,0.133333333,0,83.8939486,4.422125974,31.5643293,22.1097561,26.8370427,9.4545732,16043.11925,40.6,0.024390244,0,83.37994858,6.948348225,54,54,54,P4082 (Pioneer),3000
2815,SI,0.8,0.16,Blanco,Arroz,VERDADERO,71500,OGM,NO,1,4,5,1.7,7,MEDIA,BUENO,62,FA,34.15000685,24.44977836,29.29989261,9.700228487,37428.90989,12.9,0,0,69.03297019,9.668095932,34.99037777,23.66445688,29.32741733,11.32592089,21094.76993,11.5,0,0,72.16518289,9.77400962,37.33449571,22.225,29.77974785,15.10949571,14531.05175,0.8,0,0,66.02146291,5.372369081,104,106,46,DK 234,6500
2816,NO,0.85,0.16,Blanco,Arroz,VERDADERO,73200,OGM,NO,3,3,3,1.8,6,MEDIA,BUENO,57,FrL,32.64913384,22.88621177,27.76767281,9.762922071,42967.81184,388.4,0.115384615,0,81.78353715,6.42382269,32.20145936,22.8740611,27.53776023,9.327398256,23796.86327,260.8,0.133333333,0,83.93304885,4.427259881,31.66843753,22.0575,26.86296876,9.61093753,15875.95179,38.8,0.025,0,82.8755886,7.217684802,54,54,54,P4082 (Pioneer),2600
2824,SI,0.8,0.16,Blanco,Arroz,VERDADERO,70000,OGM,NO,3,2,6,2,6,MEDIA,BUENO,33,A,34.62443871,24.10815897,29.36629884,10.51627974,37411.59885,13.3,0,0,69.0072866,9.524029232,35.41000667,22.95140941,29.18070804,12.45859725,21174.34437,11.5,0,0,74.17713359,6.938217607,37.46705377,22.25294118,29.85999747,15.2141126,12028.96563,0.9,0,0,65.10661237,5.572642555,137,58,58,P4082 (Pioneer),4800
2844,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,70000,OGM,NO,3,3,5,1.7,7,BAJA,LENTO A MUY LENTO,45,Ar,35.45152539,23.66856322,29.56004431,11.78296217,37381.29227,12.6,0,0,68.34803421,9.581493027,35.89893463,22.45166667,29.17530065,13.44726797,20665.37097,1.3,0,0,72.80388213,7.636137439,38.02614724,22.12307692,30.07461208,15.90307032,9710.755099,0.5,0,0,63.97915343,6.729334009,122,58,78,DK7088,6200
2845,SI,0.9,0.16,Blanco,Maiz,VERDADERO,74000,OGM,NO,3,2,6,1.7,7,BAJA,LENTO A MUY LENTO,35,A,34.62443871,24.10815897,29.36629884,10.51627974,37411.59885,13.3,0,0,69.0072866,9.524029232,35.41000667,22.95140941,29.18070804,12.45859725,21174.34437,11.5,0,0,74.17713359,6.938217607,37.46705377,22.25294118,29.85999747,15.2141126,12028.96563,0.9,0,0,65.10661237,5.572642555,178,40,40,P4082 (Pioneer),5000
2847,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,77000,OGM,NO,3,2,7,1.7,6,MEDIA,BUENO,32,A,34.39215534,24.27799824,29.33507679,10.1141571,35646.43849,12.9,0,0,69.14141901,9.738136938,35.11840427,23.30664004,29.21252215,11.81176423,19989.03143,11.5,0,0,73.77883459,8.420123667,37.46618639,22.21190476,29.83904557,15.25428163,15196.27663,1,0,0,65.28540808,5.175498516,150,18,138,DK7088,6000
2850,SI,0.85,0.16,Blanco,Arroz,VERDADERO,71600,OGM,NO,2,4,6,1.8,6,MEDIA,BUENO,65,FA,34.00528578,24.65156343,29.32842461,9.353722346,36013.13849,13.3,0,0,67.88608107,9.189869011,35.10020276,24.16595484,29.6330788,10.93424793,20762.76519,11.5,0,0,68.92165494,10.18565618,36.63163453,22.275,29.45331726,14.35663453,13818.79921,0.6,0,0,69.25603919,7.991060233,138,40,80,P4082 (Pioneer),6500
2851,SI,0.85,0.16,Blanco,Arroz,VERDADERO,75000,OGM,SI,2,2,5,1.7,6,MEDIA,BUENO,66,FA,34.06970417,24.55734293,29.31352355,9.512361239,35625.12042,12.9,0,0,68.55147037,9.586535065,35.06622872,23.87044417,29.46833644,11.19578456,20354.2977,11.5,0,0,70.55534699,10.32789796,37.01955174,22.25333333,29.63644254,14.76621841,16074.14266,0.8,0,0,67.75518925,7.283214709,110,58,58,P4082 (Pioneer),4600
2852,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,71600,OGM,NO,3,2,6,1.8,6,MEDIA,BUENO,34,A,36.61248185,22.48395007,29.54821596,14.12853178,35181.9818,4.6,0,0,69.90639254,8.484335449,37.66455839,22.10526316,29.88491077,15.55929523,20894.18094,1,0,0,65.4582984,7.191705717,39.70394573,23.49825454,31.60110014,16.20569119,14603.08371,0.5,0,0,56.84208189,8.439679423,138,40,80,Otro,3000
2853,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,72100,OGM,NO,2,1,6,1.7,6,MEDIA,BUENO,64,AF,36.36619143,22.56769456,29.46694299,13.79849687,35111.02025,12.5,0,0,70.38028231,7.956233848,37.11718997,22.20350877,29.66034937,14.9136812,20429.02304,1,0,0,67.55860351,7.766406758,39.8503522,23.40263158,31.62649189,16.44772062,14213.93905,0.2,0,0,56.00558144,7.518971256,138,40,80,Otro,1800
2854,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,75000,OGM,NO,2,2,6,1.8,6,BAJA,LENTO A MUY LENTO,30,Ar,35.59309089,23.53939537,29.56624313,12.05369552,35449.03544,12,0,0,68.75108191,9.359454598,35.92519435,22.44736842,29.18628139,13.47782593,19734.02169,1.3,0,0,72.7738233,7.860089113,38.29134671,22.33243243,30.31188957,15.95891428,13551.4728,0.6,0,0,62.51195078,6.839049479,138,40,80,Otro,3000
2855,NO,0.85,0.16,Blanco,Arroz,VERDADERO,72000,Hibrido,NO,4,2,6,1.7,7,MEDIA,BUENO,37,A,35.79370645,23.39858006,29.59614325,12.39512639,35304.14813,12.1,0,0,68.88305197,9.320746517,36.12570844,22.42631579,29.27601211,13.69939265,19629.45081,1.4,0,0,71.80002774,8.27055564,38.61524078,22.42972973,30.52248525,16.18551105,13844.79613,0.5,0,0,61.18422306,8.50226137,186,18,18,Otro,6500
2856,NO,0.85,0.16,Blanco,Arroz,VERDADERO,71100,OGM,NO,2,3,5,1.9,7,MEDIA,BUENO,40,A,34.32735799,24.32683725,29.32709762,10.00052074,35588.12226,12.9,0,0,69.18770839,9.720722874,35.09779649,23.37850155,29.23814902,11.71929494,19941.50075,11.5,0,0,73.59446345,8.605292775,37.53732952,22.13111111,29.83422031,15.40621841,16376.78381,1,0,0,65.24182371,5.116562247,132,40,40,P4082 (Pioneer),5000
2857,NO,0.85,0.16,Blanco,Arroz,VERDADERO,72000,OGM,NO,2,3,4,1.8,7,MEDIA,BUENO,40,A,34.32735799,24.32683725,29.32709762,10.00052074,35588.12226,12.9,0,0,69.18770839,9.720722874,35.09779649,23.37850155,29.23814902,11.71929494,19941.50075,11.5,0,0,73.59446345,8.605292775,37.53732952,22.13111111,29.83422031,15.40621841,16376.78381,1,0,0,65.24182371,5.116562247,132,40,0,P4082 (Pioneer),4800
2858,SI,0.9,0.16,Amarillo,Arroz,VERDADERO,70000,OGM,NO,2,2,5,1.8,6,MEDIA,BUENO,48,FA,36.19769437,22.71997497,29.45883467,13.4777194,35167.13836,12.5,0,0,70.34768873,8.024558013,36.84764748,22.23859649,29.54312198,14.60905099,20172.09648,1.8,0,0,68.45101256,7.789092678,39.75192071,23.08787879,31.41989975,16.66404193,12266.14958,0.1,0,0,56.25922685,7.615279923,88,76,76,PIONEER 30F35,4000
2922,NO,0.85,0.16,Blanco,Arroz,VERDADERO,72500,OGM,NO,2,5,6,1.7,7,MEDIA,BUENO,40,A,34.49638006,24.24291448,29.36964727,10.25346558,35736.90986,12.9,0,0,69.15142932,9.713046923,35.23319148,23.12943021,29.18131085,12.10376127,20069.81867,11.5,0,0,74.2214465,7.541359002,37.42449571,22.25,29.83724785,15.17449571,14307.8173,1,0,0,65.26113682,5.274547349,164,72,72,P4082 (Pioneer),6600
2927,NO,0.8,0.16,Amarillo,Arroz,VERDADERO,72000,OGM,NO,2,2,4,1.8,6,MEDIA,BUENO,66,FA,34.76108519,24.02623993,29.39366256,10.73484525,35660.86583,13.3,0,0,69.01354154,9.74387179,35.49033965,22.80216824,29.14625395,12.68817141,20023.23604,11.5,0,0,74.83176104,6.434350052,38.35890511,22.5442623,30.4515837,15.81464282,22152.94296,1.1,0,0,61.873779,7.57907378,110,58,18,Otro,5800
2929,SI,0.8,0.16,Blanco,Arroz,VERDADERO,72000,OGM,NO,1,2,6,1.8,7,MEDIA,BUENO,40,A,34.9403012,23.81356545,29.37693333,11.12673575,35322.56751,12.9,0,0,69.01134607,9.706472977,35.5616437,22.63629602,29.09896986,12.92534769,19584.99678,4,0,0,74.28670653,6.86749024,38.17511776,22.2804878,30.22780278,15.89462996,15236.23835,0.6,0,0,63.14349317,6.27419843,138,40,120,Otro,4500
2931,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,73000,OGM,NO,2,2,6,1.7,7,BAJA,LENTO A MUY LENTO,30,ArA,31.95984912,22.66811784,27.31398348,9.291731278,39600.28838,340,0.101010101,0,84.51604037,4.991658522,32.06359759,22.64287134,27.35323447,9.420726255,22655.20421,81.2,0.035087719,0,84.68183931,4.990965883,32.82564103,21.88205128,27.35384615,10.94358974,16187.33971,25.6,0.025641026,0,76.08653424,5.387929052,122,58,138,DK7088,6100
2932,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,71000,OGM,NO,2,2,4,1.9,6,MEDIA,BUENO,33,A,34.87677253,23.87011254,29.37344254,11.00665999,35311.7315,12.9,0,0,69.02583513,9.703064833,35.57946724,22.66815464,29.12381094,12.9113126,19688.36782,4,0,0,74.295007,6.860037931,38.10904353,22.27619048,30.192617,15.83285305,15495.98955,0.6,0,0,63.25912428,6.242354803,116,58,18,DK7088,5000
2933,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,72000,OGM,NO,1,3,6,1.7,6,MEDIA,BUENO,33,A,35.79370645,23.39858006,29.59614325,12.39512639,35304.14813,12.1,0,0,68.88305197,9.320746517,36.12570844,22.42631579,29.27601211,13.69939265,19629.45081,1.4,0,0,71.80002774,8.27055564,38.78159772,22.6425,30.71204886,16.13909772,15149.23632,0.5,0,0,60.50478133,8.605096442,159,24,52,Otro,4500
2956,NO,0.85,0.16,Blanco,Arroz,VERDADERO,73000,OGM,NO,2,2,8,1.8,7,MEDIA,BUENO,67,FA,32.22977193,22.75521237,27.49249215,9.474559561,40306.26124,378.8,0.121212121,0,83.64437901,5.245885285,32.11798356,22.79901169,27.45849762,9.318971869,22540.82272,237.8,0.122807018,0,84.47912692,4.544447958,32.34318182,22.075,27.20909091,10.26818182,17574.4134,18,0,0,79.1261138,6.790079161,178,40,120,P4082 (Pioneer),6300
2957,NO,0.85,0.16,Blanco,Arroz,VERDADERO,72000,OGM,NO,2,2,6,1.7,6,MEDIA,BUENO,63,FA,32.05883902,22.48225926,27.27054914,9.576579763,39530.10693,280.4,0.080808081,0,83.16325527,5.894024675,31.92507536,22.29374853,27.10941195,9.631326829,22590.53479,62.6,0.035087719,0,82.5864891,6.606456151,33.53825971,22.03159304,27.78492638,11.50666667,19332.20117,75.6,0.066666667,0,76.13460815,6.933808856,184,40,60,Otro,4000
2958,NO,0.85,0.16,Blanco,Arroz,VERDADERO,73000,OGM,NO,1,3,8,1.8,7,BAJA,LENTO A MUY LENTO,40,Ar,35.81111864,23.37588282,29.59350073,12.43523582,35207.10159,12.1,0,0,68.85111561,9.345644921,36.19939265,22.43157895,29.3154858,13.7678137,19819.95798,1.4,0,0,71.47019046,8.567722095,38.65578132,22.48918919,30.57248525,16.16659213,13903.6191,0.5,0,0,61.05271111,8.640539743,170,103,58,P4082 (Pioneer),4500
2959,NO,0.85,0.16,Blanco,Arroz,VERDADERO,73000,OGM,NO,1,2,7,1.9,7,BAJA,LENTO A MUY LENTO,40,Ar,35.74177818,23.42260176,29.58218997,12.31917642,35247.00931,12.1,0,0,68.89062867,9.309465541,36.11167335,22.44385965,29.2777665,13.6678137,19753.72832,1.4,0,0,71.91791716,8.232229473,38.66317715,22.56666667,30.61492191,16.09651048,14626.20283,0.5,0,0,61.01529631,8.507157923,162,98,58,P4082 (Pioneer),4500
2960,NO,0.85,0.16,Blanco,Arroz,VERDADERO,74000,OGM,NO,1,3,7,2,7,MEDIA,BUENO,67,Ar,35.85914005,23.24863957,29.55388981,12.61050048,35293.75136,12.3,0,0,69.31957873,9.225498296,36.29588388,22.44561404,29.37074896,13.85026984,19992.46516,1.6,0,0,70.77940099,8.402564386,39.16061305,22.71025641,30.93543473,16.45035664,14606.48034,0.3,0,0,59.25114561,8.509913918,150,58,98,P4082 (Pioneer),4000
2961,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,71000,OGM,NO,3,3,6,1.8,6,BAJA,LENTO A MUY LENTO,40,FA,37.2396898,22.54848485,29.89408732,14.69120495,35565.43354,1.9,0,0,67.11028115,10.01055543,38.5016353,22.63684211,30.5692387,15.86479319,21069.67023,0.7,0,0,61.67238388,7.75960757,39.51329278,23.73241913,31.62285596,15.78087365,14376.55663,2.3,0,0,58.58791439,8.881515435,146,18,78,Otro,4000
2962,NO,0.8,0.16,Amarillo,Arroz,VERDADERO,72000,OGM,NO,2,4,5,1.9,7,MEDIA,BUENO,40,FAr,35.69154234,23.46740812,29.57947523,12.22413422,35492.12825,12,0,0,68.67693003,9.446059373,36.10465581,22.38245614,29.24355597,13.72219967,19786.02497,1.3,0,0,72.12602801,8.215885396,38.3279976,22.49210526,30.41005143,15.83589234,14022.72915,0.6,0,0,62.42745514,7.765174788,138,18,58,DK7088,3000
2963,NO,0.85,0.16,Blanco,Arroz,VERDADERO,71800,Hibrido,NO,2,2,4,1.8,7,BAJA,LENTO A MUY LENTO,40,A,32.43459659,22.29438047,27.36448853,10.14021613,40132.90708,106.8,0.03030303,0,80.86924634,6.833059894,32.56315789,21.92631579,27.24473684,10.63684211,23387.03541,42.4,0.01754386,0,78.4096213,7.124372265,34.01937309,22.50229992,28.2608365,11.51707317,18133.82711,89.8,0.073170732,0,75.75252731,7.313169138,122,36,36,P4082 (Pioneer),4000
2969,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,71000,Hibrido,NO,2,2,4,1.8,7,MEDIA,BUENO,42,FAr,34.9403012,23.81356545,29.37693333,11.12673575,35322.56751,12.9,0,0,69.01134607,9.706472977,35.5616437,22.63629602,29.09896986,12.92534769,19584.99678,4,0,0,74.28670653,6.86749024,38.17511776,22.2804878,30.22780278,15.89462996,15236.23835,0.6,0,0,63.14349317,6.27419843,116,58,18,Otro,4000
2970,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,71500,Hibrido,NO,4,3,4,1.8,7,MEDIA,BUENO,63,FAr,35.87086357,23.18738547,29.52912452,12.6834781,35138.73379,12.3,0,0,69.67026601,8.908435286,36.21431415,22.44385965,29.3290869,13.7704545,19890.73851,1.6,0,0,70.74226605,8.373397957,39.25333481,22.54117647,30.89725564,16.71215834,12808.13044,0.3,0,0,59.31937262,8.146111346,66,94,54,ADV 9339 (Syngenta),2000
2971,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,73000,OGM,NO,2,2,7,1.7,6,MEDIA,BUENO,67,FrL,32.62864318,22.13080854,27.37972586,10.49783464,40668.14214,109,0.04040404,0,79.71515071,7.530144137,33.18515353,21.84831142,27.51673248,11.33684211,24058.9389,47.2,0.035087719,0,75.85468859,6.311694681,34.19164782,22.59164782,28.39164782,11.6,21635.01462,105.2,0.0625,0,75.42721767,7.250899821,184,80,40,Otro,6000
2972,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,72000,OGM,NO,2,3,7,1.7,7,MEDIA,BUENO,67,FA,32.68427544,22.11371353,27.39899448,10.57056191,40876.49416,138.2,0.050505051,0,79.52271263,7.795600335,33.33939701,21.89904614,27.61922158,11.44035088,24009.01895,76,0.052631579,0,75.92873872,6.432279114,34.29053114,22.72601501,28.50827308,11.56451613,14019.48388,65.6,0.064516129,0,74.5067809,7.226888247,184,80,40,Otro,4000
2973,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,73000,OGM,NO,3,4,5,1.8,6,MEDIA,BUENO,33,A,35.85914005,23.24863957,29.55388981,12.61050048,35293.75136,12.3,0,0,69.31957873,9.225498296,36.29588388,22.44561404,29.37074896,13.85026984,19992.46516,1.6,0,0,70.77940099,8.402564386,39.2161929,22.69756098,30.95687694,16.51863192,15358.088,0.3,0,0,58.95739054,8.41793024,125,40,40,Otro,4500
2974,NO,0.85,0.16,Blanco,Arroz,VERDADERO,71000,OGM,SI,1,2,8,1.9,7,MEDIA,BUENO,66,FrL,32.20429356,22.43276431,27.31852893,9.771529258,39445.96339,276.8,0.080808081,0,82.26162533,6.243814188,32.11995616,22.21578947,27.16787282,9.904166688,22758.23887,39.6,0.01754386,0,81.04242066,7.054835112,33.88124608,21.76410323,27.82267465,12.11714286,15605.0327,75.4,0.085714286,0,75.44265702,7.833321791,170,103,58,P4082 (Pioneer),4800
2981,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,72000,OGM,NO,2,2,7,1.7,7,MEDIA,BUENO,69,FrL,32.3396471,22.36508754,27.35236732,9.974559561,39932.91075,147.2,0.04040404,0,81.59719114,6.465602705,32.37192982,22.01403509,27.19298246,10.35789474,23427.52679,43.8,0.01754386,0,79.78725057,7.047349255,34.00204993,22.39335428,28.1977021,11.60869565,20271.82663,90,0.065217391,0,75.24304784,7.117989466,162,58,138,DK7088,5000
2982,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,73000,OGM,NO,2,2,6,1.6,7,MEDIA,BUENO,35,FA,32.20429356,22.43276431,27.31852893,9.771529258,39445.96339,276.8,0.080808081,0,82.26162533,6.243814188,32.11995616,22.21578947,27.16787282,9.904166688,22758.23887,39.6,0.01754386,0,81.04242066,7.054835112,33.84522787,22.00237072,27.92379929,11.84285714,18730.3076,93,0.095238095,0,75.50861431,7.457103845,122,58,138,PIONEER 30F35,5500
2983,NO,0.85,0.16,Amarillo,Maiz,VERDADERO,70000,Hibrido,NO,2,3,4,1.9,7,MEDIA,BUENO,64,ArA,31.96186932,22.6277138,27.29479156,9.334155521,39588.84377,316.2,0.090909091,0,84.25088885,5.199501525,31.98823325,22.55690643,27.27256984,9.431326829,23256.53479,81.2,0.035087719,0,84.34395795,5.424150906,32.93428571,21.88857143,27.41142857,11.04571429,14403.5311,25.2,0.028571429,0,76.03787408,5.437670454,110,58,18,ADV 9339 (Syngenta),4800
